"Year", "First Quarter", "Second Quarter", "Third Quarter", "Fourth Quarter", "Total", "First Nine Months"
2007, 9354, 10611, 11056, 10238, 41259, 31021
2008, 8459, 9435, 9947, 9582, 37423, 27841
2009, 7552, 8975, 9104, 8252, 33883, 25631
2010, 6755, 8522, 9226, 8496, 32999, 24503
2011, 6726, 8227, 8984, 8542, 32479, 23937
2012, 7521, 8612, 9171, 8478, 33782, 25304
2013, 7166, 8207, 9024, 8496, 32893, 24397
2014, 6856, 8179, 8799, 8910, 32744, 23834
2015, 7370, 8823, 9805, 9486, 35484, 25998
2016, 8154, 9563, 10078, 10011, 37806, 27795
2017, 8301, 9460, 10081, 9631, 37473, 27842
2018, 8189, 9290, 9856, 9225, 36560, 27335
2019, 7830, 9150, 9750, , , 26730